生成的PPT文件保存为：cef_fonts_cjk\unicode_flash_mob_1.pptx
PPT创建进度: 100%|█████| 13277/13277 [13:46<00:00, 16.06slide/s]
         1236702138 function calls (1235652611 primitive calls) in 826.538 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13277    0.025    0.000    0.318    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\presentation.py:84(slide_width)
   159324    0.195    0.000    0.312    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\xmlchemy.py:475(_prop_name)
    26590    0.043    0.000    0.310    0.000 zipfile\__init__.py:1183(__init__)
    13299    0.026    0.000    0.303    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\package.py:79(iter_parts)
    66385    0.060    0.000    0.298    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\oxml\text.py:64(_escape_ctrl_chars)
    13313    0.045    0.000    0.296    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\opc\packuri.py:103(rels_uri)
    26554    0.035    0.000    0.294    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\slide.py:162(background)
    26590    0.020    0.000    0.268    0.000 zipfile\__init__.py:745(_get_compressor)
    79662    0.191    0.000    0.265    0.000 E:\res\python\python-3.12.3-embed-amd64\Lib\site-packages\pptx\dml\color.py:284(__new__)
    66385    0.065    0.000    0.264    0.000 re\__init__.py:199(split)
